U+3400	㐀	qiū;jau1;null;null;null	⿱卝一
U+343C	㐼	chèng;cing2;null;null;null	⿰亻⿱丿⿻一⿰丿丨
U+343D	㐽	fēng;fung1;null;null;null	⿰亻⿵几㐅
U+3440	㑀	null;taai3;null;null;null	⿰亻⿵⿻一人丶
U+3441	㑁	zhuō;zyut3,zyut6;null;null;null	⿰亻⿱⿻凵丨[GTK]凵
U+3442	㑂	fǎng;fong2,pong4;null;null;null	⿰亻⿱一⿻冂人
U+3443	㑃	ǎo;au2,au3,paai1;null;null;null	⿰亻⿰⿰②丶⿻丿𠃌
U+3444	㑄	wǔ;mou5;null;null;null	⿰亻母
U+3445	㑅	zuò;zok3,zok6;null;null;null	⿰亻⿱𠂉⿱⺊一
U+3447	㑇	zhòu;zaau3;null;null;null	⿰亻⿱𠂊彐
U+3448	㑈	dòng;dung1;null;null;null	⿰亻东
U+3449	㑉	sù;cuk1;null;null;null	⿰亻⿵几⿱一⿴𠂊丶
U+344A	㑊	yì;zik6;null;null;null	⿰亻⿱⿱丶一[GTK]④
U+344B	㑋	qióng;kung4;null;null;null	⿰亻曲
U+344C	㑌	kuāng;hong1;null;null;null	⿰亻⿷匚⿱一⿱十一
U+344D	㑍	lèi;leoi5;null;null;null	⿰亻⿻一未[G]
U+344E	㑎	nǎo;nou5;null;null;null	⿰亻⿱⿲𡿨𡿨𡿨山
U+344F	㑏	zhù;cyu5,zyu2;null;null;null	⿰亻⿱宀寸
U+3450	㑐	shū;suk1;null;null;null	⿰亻⿱⿱⺊一小
U+3454	㑔	xǔ;seoi2;null;null;null	⿰亻页
U+3457	㑗	shēn;saan1,saan6;null;null;null	⿰亻身
U+3458	㑘	jiè;gaai3;null;null;null	⿰亻⿹⿻⿺⿻一乚丶丿⿻一⿰丿丨
U+3459	㑙	dié;dip6;null;null;null	⿰亻⿸耳𠃊[U]
U+345A	㑚	nuó;naa4,no4;null;null;null	⿰亻⿰⿻⿹𠃌丿⿱一一阝
U+345B	㑛	sù;cuk1;null;null;null	⿰亻束
U+345C	㑜	yì;zaai6;null;null;null	⿰亻⿰扌⿸𠂆⿱一丨
U+345D	㑝	lòng;lung6;null;null;null	⿰亻⿱⿱一⿱十一⿻一⿰丿丨
U+345E	㑞	yìng;zing6;null;null;null	⿰亻⿱⿱八人⿻一⿰丿丨
U+345F	㑟	běng;mang1;null;null;null	⿰亻⿱丘八
U+3463	㑣	lán;lam2,lam4;null;null;null	⿰亻⿰木木
U+3464	㑤	miáo;miu4;null;null;null	⿰亻⿱⿻十丨[GJ]田
U+3465	㑥	yì;zi6;null;null;null	⿰亻⿱日⿹勹⿱丿丿
U+3466	㑦	lì;leoi6;null;null;null	⿰亻⿸⿱丶尸犬[G]
U+3467	㑧	jì;gwai3;null;null;null	⿰亻⿱⿱丿木子
U+3468	㑨	yǔ;zyu5;null;null;null	⿰亻⿱口⿱𠂉⿻一人
U+3469	㑩	luó;lo4;null;null;null	⿰亻⿱罒⿴𠂊丶
U+346A	㑪	chái;caai4;null;null;null	⿰亻⿱文⿲丿⿱一一丨
U+346B	㑫	null;null;null;null;nộm	⿰亻⿱⿱⿱人丶㇇[G]心
U+346E	㑮	hún;gwaat1,waan4;null;null;null	⿰亻⿱冖車
U+346F	㑯	xǔ;seoi1;null;null;null	⿰亻頁
U+3470	㑰	huì;fui4;null;null;null	⿰亻⿱彑𧰨
U+3471	㑱	rǎo;nau4;null;null;null	⿰亻⿱⿱龴⿹⿱乛亅丿木[GJK]
U+3473	㑳	zhòu;zaau3;null;null;null	⿰亻⿱⿹勹⿻凵丨[GTK]⿹勹⿻凵丨[GTK]
U+3474	㑴	null;caam1,cam1;null;null;null	⿰亻⿱⿳彐冖巾[G]又
U+3475	㑵	hàn;zat6;null;null;null	⿰亻⿸疒⿱𠂉⿻一人
U+3476	㑶	xì;haai4,hei3;null;null;null	⿰亻⿹⿳𠂉一乁米
U+3477	㑷	tài;taai3;null;null;null	⿰亻⿰⿱厶⿵⺆冫[T]⿱⿺乚丿[GJ]⿺乚丿[GJ]
U+3478	㑸	yáo;ziu4;null;null;null	⿰亻⿱⿱十口⿹⿱一亅口
U+3479	㑹	huì;gwat3,mok6,wui6;null;null;null	⿳⿱人一由曰
U+347A	㑺	jùn;zeoi6,zeon3;null;null;null	⿰亻⿱隹⿹𠄎丿
U+347B	㑻	mà;maa6,mei5;null;null;null	⿰亻⿱⿱宀⿻心丿山
U+347C	㑼	lüè;loek6;null;null;null	⿰亻⿰田⿱夂口
U+347D	㑽	táng;tong4;null;null;null	⿰亻⿱⿱⿱⺌冖口⿱十一
U+347E	㑾	yáo;ziu4;null;null;null	⿰亻⿱⿴𠂊⿱丶丶言[GH]
U+347F	㑿	zhào;coek3,huk6,zau3,ziu6;null;null;null	⿰亻⿱⿲𡿨𡿨𡿨⿻日木
U+3480	㒀	zhāi;cim4,cip3,zak6;null;null;null	⿰亻⿱⿱⿱丶一[GTK]丷⿵冂⿱十口
U+3481	㒁	yǔ;sou3,zyu5;null;null;null	⿰亻⿴囗⿱⿱十一⿱丷干
U+3482	㒂	zhuó;zoek6;null;null;null	⿰亻⿱⿻十丨[GJ]⿸耂日[GTJ]
U+3483	㒃	èr;zi6;null;null;null	⿰亻⿹弋⿱⿱一一⿱目八
U+3484	㒄	rǎn;ngam4,zim5;null;null;null	⿰亻⿱⿰⿴𠂊冫犬灬
U+3485	㒅	qǐ;kai2;null;null;null	⿰亻⿳⿱丶一[GTK]⿱⿴𠂊丶⿴𠂊丶𧘇
U+3486	㒆	chì;kap1;null;null;null	⿰亻⿱⿱⿱人一口⿰⿹𠃌冫⿹𠃌冫[GTJV]
U+3487	㒇	wǔ;ng5;null;null;null	⿰亻⿱⿳𠂉卌一灬
U+3488	㒈	hàn;hon6;null;null;null	⿰亻⿰⿱乛耳攵[G]
U+3489	㒉	tǎng;tong2;null;null;null	⿰亻⿱⿱⿱⺌冖口木[GJK]
U+348A	㒊	sè;saap1,sik1;null;null;null	⿰亻⿱⿰⿹⿹𠃌丿丿[GK]⿹⿹𠃌丿丿[GK]⿰止止
U+348B	㒋	null;si1;null;null;null	⿰亻⿰⿱⿱⑤一八⿸𠂆⿱一丨
U+348C	㒌	qióng;king4;null;null;null	⿰亻⿱⿱⿰⿱八人⿱八人冖几
U+348D	㒍	léi;leoi5;null;null;null	⿰亻⿱⿱厶⿰厶厶⿱⿰②丶小
U+348E	㒎	sà;sat3;null;null;null	⿰亻⿱⿱一⿻一人非[G],⿰亻⿱⿱丿⿻一人非[T]
U+3491	㒑	kuǐ;hung2,kui2,wak6;null;null;null	⿰亻⿷匚⿰氵隹
U+3492	㒒	pú;buk6;null;null;null	⿰亻⿱⿱④一⿱⿱丷一未
U+3493	㒓	tà;taat3;null;null;null	⿰亻⿺辶⿱⿱十一⿱䒑⿻⿱一一丨
U+3494	㒔	shú;suk6;null;null;null	⿰亻⿱罒⿹勹虫
U+3495	㒕	yāng;zoeng1;null;null;null	⿰亻⿱亠⿰乡隹
U+3496	㒖	ǒu;ngaau5;null;null;null	⿰亻⿱⿻十丨[GJ]禺
U+3497	㒗	tái;toi4;null;null;null	⿰亻⿳⑤冖⿱⿱一厶⿱十一
U+3499	㒙	mián;min4,min6;null;null;null	⿰亻⿰⿱⿰②丶③⿱白巾[GTV]
U+349A	㒚	yìn;waan2;null;null;null	⿰亻⿱⿳⿱丿𭕄[G]工彐[G]心
U+349B	㒛	diào;deoi2,diu6;null;null;null	⿰亻⿱⿰⿹𠃌冫⿹𠃌冫[GTJV]隹
U+349C	㒜	yǔ;zyu5;null;null;null	⿰亻⿶⿳⿰③彐一八⿹②丿
U+349D	㒝	miè;mit6,ziu5;null;null;null	⿰亻⿱⿱⿻十丨[GJ]罒⿵戊丶[GJK]
U+349E	㒞	jùn;zeon3;null;null;null	⿰亻⿱山⿱隹④[GTKA]
U+349F	㒟	niǎo;niu5,seoi1;null;null;null	⿰亻⿳⿱丶一[GTK]⿹⑥灬𧘇
U+34A0	㒠	xiè;haai6;null;null;null	⿰亻⿱⿰⿱⺊⿴𠂊丶又⿱非一
U+34A1	㒡	yóu;zaau4;null;null;null	⿰亻⿰⿱⿱丿𭕄[G]缶[G]⿱丿⿱⿰②丶小
U+34A4	㒤	chè;sip3,zip3;null;null;null	⿰亻⿱耳⿰耳耳
U+34A5	㒥	fēng;fung1,gaam2;null;null;null	⿰亻⿱⿻山⿰⿻⿱一⿱一一丨[GJK]⿻⿱一⿱一一丨[GJK]豆
U+34A6	㒦	lěi;deoi3,leoi5;null;null;null	⿰亻⿱⿱田⿰田田⿱十一
U+34A7	㒧	lì;lai6;null;null;null	⿰亻⿰⿱⿱⿱丶一[GTK]⿶凵㐅⿻冂厶隹
U+34A8	㒨	null;sin1;null;null;null	⿰亻⿱⿱⿴⿰③彐⿴⿱丿囗㐅⿻一人巳[G],⿰亻⿳⿴𦥑⿱丿⿵⿵冂一口⿻一人巳[T],⿰亻⿱⿶⿳⿰③彐一八⿱丿⿵⿵冂一口㔾[X]
U+34A9	㒩	luǒ;lo2;null;null;null	⿰亻⿱⿱彑𧰨⿰虫虫
U+34AA	㒪	null;sek3;null;null;null	⿳人⿰臣臣⿰止⿱一𧰨
U+34AB	㒫	jì;gei3,hei2;null;null;null	⿱④⿰丿乚
U+34AD	㒭	null;kwaan1,kwaan1,leoi4;null;null;null	⿰⿱口⿰丿乚⿱口⿰丿乚
U+34AF	㒯	null;jip6;null;null;null	⿰⿱⺌⿱一⿰丿乚⿱⿻十丨[GJ]⑦
U+34B0	㒰	quán;cyun4,zan2;null;null;null	⿱入工
U+34B2	㒲	cái;coi4;null;null;null	⿱入日
U+34B3	㒳	liǎng;loeng5;null;null;null	⿻⿵冂丨⿰入入
U+34B4	㒴	gǔ;gwat1;null;null;null	⿱入⿱⿻凵丨[GTK]凵
U+34B5	㒵	mào;mau6,mo1;null;null;null	⿱白八
U+34B6	㒶	null;gung1;null;null;null	⿱八白
U+34B7	㒷	guǎ;hing2,hing3;null;null;null	⿳⿵冂人一八
U+34B8	㒸	suì;seoi6;null;null;null	⿱丷⿱一𧰨,⿱八⿱一𧰨[X]
U+34B9	㒹	null;din1;null;null;null	⿰⿱十⿱⿴且一八[GTKV]⿱十⿱⿴且一八[GTKV][T],⿰⿳匕⿺𠃊目八⿳匕⿺𠃊目八[K]
U+34BB	㒻	mào;mou6;null;null;null	⿱⿵冂⿱一一⿱目⿰丿乚,⿱日⿱目⿰丿乚
U+34BC	㒼	mán;mang4,mun4;null;null;null	⿱廿⿻巾⿰入入
U+34BD	㒽	quān;hyun1;null;null;null	⿱⿵冂⿱一一⿱⿱丷⿻⿱一一人㔾[GTV],⿱日⿱⿱丷⿻⿱一一人㔾[GTV]
U+34BE	㒾	shì;si6;null;null;null	⿱⿵冂⿱一一⿰⿱亠⿰丿𠃌⿱𠂉也,⿱日⿰⿱亠⿰丿𠃌⿱𠂉也
U+34BF	㒿	lí;lei4;null;null;null	⿱⿵冂⿱一一⿰⿱⿱⿱丶一[GTK]⿶凵㐅⿻冂厶隹,⿱日⿰⿱⿱⿱丶一[GTK]⿶凵㐅⿻冂厶隹
U+34C1	㓁	wǎng;mong5;null;null;null	⿱冖⿰丿乚
U+34C2	㓂	kòu;kaau3,taau3;null;null;null	⿱冖⿺⿱一⿱一⿰丿乚女
U+34C3	㓃	dù;dou3;null;null;null	⿱冖⿰言⿱丿⿻㇀乚
U+34C4	㓄	zhèn;saam2,zaam3;null;null;null	⿰⿱⿱⿱厶⿰厶厶人彡冘
U+34C5	㓅	tīng;ding1,ting1;null;null;null	⿰冫⿱一亅
U+34C8	㓈	bìng;bing1;null;null;null	⿰冫⿸⿱一丿口
U+34C9	㓉	huò;gwaat3,gwat3,kut3,wun6,wut6;null;null;null	⿰冫⿱⿱丿十口[GJK]
U+34CA	㓊	dòng;dung6;null;null;null	⿰冫⿵⿵冂一口
U+34CB	㓋	gòng;gung6;null;null;null	⿰冫⿱⿱⿻十丨一八
U+34CC	㓌	chēng;cang1,gwai3,ting4,tong3;null;null;null	⿰冫⿱人⿱一⿱十一[GJ]
U+34CE	㓎	qīn;caam1,saam6;null;null;null	⿰冫⿳⿻コ一冖又
U+34CF	㓏	jiǒng;gwing2;null;null;null	⿰冫⿵冂⿱八口[G]
U+34D0	㓐	lù;luk6;null;null;null	⿰冫⿱⿱⿱十一⿰丿乚⿱十一
U+34D1	㓑	xìng;haang6;null;null;null	⿰冫⿱⿱十一⿱丷干
U+34D3	㓓	nán;lam5,nam4;null;null;null	⿰冫⿱十⿵冂⿱丷干
U+34D4	㓔	xiè;ze6;null;null;null	⿰冫⿰身寸
U+34D6	㓖	bì;bit1;null;null;null	⿰冫⿻⑨一
U+34D7	㓗	jié;git3;null;null;null	⿰冫⿱⿰⿻⿱一⿱一一丨[GJK]⿹𠃌丿[G]⿱⿰②丶小
U+34D8	㓘	sù;suk1;null;null;null	⿵⿵几⿱一⿴𠂊丶⿷⿱一⿱十一丶[G],⿵几⿳一⿴𠂊⿱丶丶⿱一⿱十一[T]
U+34D9	㓙	null;hung1,kung4;null;null;null	⿶凵⿱⿱丶一[GTK]⿻丿乀
U+34DA	㓚	gōng;geoi6,gung1,kung4;null;null;null	⿰工刂
U+34DB	㓛	null;gung1;null;null;null	⿰工⿹𠃌丿
U+34DC	㓜	yòu;zaau3,ziu3;null;null;null	⿰⿰②丶⿹𠃌丿
U+34DD	㓝	xíng;zing4;null;null;null	⿰井刂
U+34DE	㓞	qià;kaai3;null;null;null	⿰⿻⿱一⿱一一丨[GJK]⿹𠃌丿[G],⿰⿻彡丨⿹𠃌丿[T]
U+34DF	㓟	pí;ngo4,pai1,pei1;null;null;phay	⿰皮刂
U+34E0	㓠	diàn;dim3;null;null;chẻm	⿰⿱⺊口刂
U+34E1	㓡	fǔ;fu2;null;null;null	⿰缶刂
U+34E2	㓢	luò;lok3;null;null;null	⿰⿱夂口刂
U+34E3	㓣	qià;got3,zak6;null;null;null	⿰⿱⿱人一口刂
U+34E4	㓤	qià;gat1,hot3,kit3,kit6;null;null;null	⿰⿱⿱十一口刂
U+34E5	㓥	tāng;tong1;null;null;null	⿰⿱⺌彐刂
U+34E6	㓦	bāi;bak3;null;null;null	⿰⿱一白刂
U+34E7	㓧	gān;deoi1,haang1,zim1,zim2;null;null;null	⿰⿱⿱⿱人丶㇇[G]口刂
U+34E8	㓨	cí;ci3;null;null;null	⿰⿻⿻一人⿰人人刂
U+34E9	㓩	xuān;fan3,hin2,hyun1;null;null;null	⿰角刂
U+34EA	㓪	lǎng;long5;null;null;null	⿰⿱丶艮[GTV]⿹𠃌丿
U+34EC	㓬	null;fu1;null;null;null	⿰⿱⿱丷⿻⿱一一人⿹𠃌丿[GTJ]刂
U+34ED	㓭	shé;hot3;null;null;null	⿰⿱日⿹勹⿺𠃊人刂
U+34EE	㓮	null;diu1;null;null;null	⿰⿵⺆⿱⿱十一口[GTJV]刂
U+34EF	㓯	lí;lei4;null;null;null	⿰⿱⿲𡿨𡿨𡿨田刂
U+34F0	㓰	huà;waak6;null;null;null	⿰⿱一⿶凵田[GT]刂
U+34F1	㓱	tóu;syu1;null;null;null	⿰⿱⿱人一⿰月刂刂
U+34F2	㓲	piān;pin3;null;null;null	⿰⿸⿱丶尸⿵冂⿻十丨[G]刂
U+34F3	㓳	dī;dai1;null;null;null	⿺⿱日⿱一龰刂[G],⿰⿱日⿱一龰刂[T]
U+34F4	㓴	ruǎn;zyun5;null;null;null	⿰⿱⿱一⿱丿⿵冂⿰丨丨⿻一人刂
U+34F5	㓵	è;ngok6;null;null;null	⿰⿱⿰口口⿱一⿱一㇉刂
U+34F6	㓶	qiè;kit3;null;null;khía	⿰⿱⿰⿻⿱一⿱一一丨[GJK]⿹𠃌丿[G]⿻一人[GTKV]刂
U+34F7	㓷	yì;nau4,zi6;null;null;null	⿰⿱自木[GJK]刂
U+34F8	㓸	zhuō;coek3,sau2,zoek3;null;null;null	⿰𠁁刂
U+34F9	㓹	ruì;zeoi6;null;null;null	⿰⿸厂⿱⿱八人⿱八人刂
U+34FA	㓺	jiān;gin1,gin6,kin4;null;null;null	⿰⿸⿸⿱⺊②⿻㇀乚⿱⿱丶一[GTK]⿻丿乀刂
U+34FB	㓻	null;gong1;null;null;null	⿰⿱罒⿱一止刂
U+34FC	㓼	chì;null;null;null;null	⿰⿱木⿱人⿻亅⿱丷八刂
U+34FD	㓽	chóng;sung4;null;null;null	⿰⿱山⿱宀示刂
U+34FE	㓾	xī;sai1;null;null;null	⿰⿸尸⿱⿻丨⿱丷八牛刂
U+3500	㔀	lüè;king4;null;null;null	⿰⿱日⿳⿱丶一[GTK]口小刂
U+3501	㔁	dēng;daang1,taang1;null;null;null	⿰⿱⿰②③豆刂
U+3502	㔂	lín;leon4;null;null;null	⿰⿱米⿰⿴𠂊丶㐄刂
U+3503	㔃	jué;zyut6;null;null;null	⿱⿰⿱⿰②丶③⿱𠂊巴[GTV]⿹𠃌丿[G],⿱⿰糹⿱⿹𠃌丿巴⿹𠃌丿[T]
U+3504	㔄	sù;suk1;null;null;null	⿰⿱⿱一⿻口⿰丨丨米刂
U+3505	㔅	xiào;siu3;null;null;null	⿰肅刂
U+3506	㔆	zàn;caam5;null;null;null	⿰⿱⿰旡旡[G]日刂
U+3507	㔇	null;put3;null;null;null	⿰⿱⿰②③⿰弓⿱𠘧又[GT]刂
U+3509	㔉	zhǔ;cung2,zuk1;null;null;null	⿰⿸尸禹刂
U+350A	㔊	zhǎn;tan2;null;null;null	⿰⿱⿱⿱丶一[GTK]⿴囗口⿱日一[GTJ]刂
U+350B	㔋	jiān;ham3,ham5,lam6;null;null;null	⿰⿱⿰臣⿱𠂉丶皿[G]刂
U+350C	㔌	zòu;sei3,tam3,zap3,zau6,zek3,zik3;null;null;null	⿰⿱⿰耳又[GV]乑[GJK]刂
U+350D	㔍	chuā;cap3,zaa3,zaai3;null;null;null	⿰⿱⿰⿱𠂊亅[GK]⿱𠂊亅[GK]⿱目⿻一⿰丿丨刂
U+350E	㔎	xiè;sit3;null;null;null	⿱⿰⿱⿻凵丨[GTK]⿱丿㠯⿱⿱⿱⿱丶一[GTK]丷一十⿹𠃌丿
U+350F	㔏	lì;gak3,lik6;null;null;null	⿰⿱⿸⿱一丿口⿰⿸⿱一丿口⿸⿱一丿口刂
U+3510	㔐	null;cim1;null;null;null	⿰⿳⿰⿱𠂊亅[GK]⿱𠂊亅[GK]一⿱非一刂
U+3511	㔑	chì;null;null;null;null	⿱⿱艹⿰⿱丿㠯⿱⿱⿱⿱丶一[GTK]丷一十⿹𠃌丿
U+3512	㔒	xí;kwai4;null;null;null	⿰⿱⿱山隹⿵冂⿱八口[G]刂
U+3513	㔓	jiǎn;gin2,zin2;null;null;null	⿰⿱丿十⿻丿𠃌
U+3515	㔕	jí;gaat1,kaau1;null;null;null	⿰⿳𠂉一乁⿻丿𠃌
U+3517	㔗	fèi;bei6,faai3,fan4,gaat1,ngaat6;null;null;null	⿰⿻弓⿰丿丨⿻丿𠃌
U+3518	㔘	chù;zeot1;null;null;null	⿰⿱⿻凵丨[GTK]凵⿻丿𠃌
U+3519	㔙	bēng;ping1;null;null;null	⿰⿱丷⿱一⿻一⿰丿丨⿻丿𠃌
U+351A	㔚	jié;aau2,haau2;null;null;null	⿰⿱⿱丿十口[GJK]⿻丿𠃌
U+351C	㔜	bá;but6;null;null;null	⿰⿱⿱丿𭕄[G]子⿻丿𠃌
U+351D	㔝	liǎng;loeng5;null;null;null	⿰⿱一⿻巾⿰入入⿻丿𠃌
U+351E	㔞	kuài;fai3;null;null;null	⿰⿻⿱丿十⿰③⿺乚丿[GJ]⿻丿𠃌
U+3520	㔠	xiā;hat6;null;null;null	⿰⿱日⿹勹⿺𠃊人⿻丿𠃌
U+3521	㔡	biē;bit3;null;null;null	⿰⿱⿴⿱丿囗㐅比⿻丿𠃌
U+3522	㔢	jué;waai4,zyut6;null;null;null	⿱⿰⿱⿰②丶③⿱𠂊巴[GTV]⿻丿𠃌[G],⿱⿰糹⿱⿹𠃌丿巴⿻丿𠃌[T]
U+3523	㔣	léi;leoi4;null;null;null	⿰⿱田⿰田田⿻丿𠃌
U+3524	㔤	xìn;saam2;null;null;null	⿰⿱宀⿱⿱丿米田⿻丿𠃌
U+3525	㔥	bài;baai6,pei4;null;null;null	⿰⿱罒⿰⿱厶⿵⺆冫[T]⿱⿺乚丿[GJ]⿺乚丿[GJ]⿻丿𠃌
U+3526	㔦	yǎng;zoeng5,zoeng6;null;null;null	⿰⿱⿱⿱丷一⿱十一⿱人⿱丶艮[GTV]⿻丿𠃌
U+3527	㔧	lǜ;leoi6;null;null;null	⿰⿸虍⿱田皿⿻丿𠃌
U+3528	㔨	bèi;bui3;null;null;null	⿹勹⿱⿰③⿺乚丿[GJ]月[GJK]
U+3529	㔩	è;aap6;null;null;null	⿹勹⿱⿱⿱十一厶皿
U+352A	㔪	lǔ;lou5;null;null;null	⿹勹⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶
U+352C	㔬	null;coek3,zau3;null;null;null	⿱⿺乚丿[GJ]⿱日十
U+352D	㔭	chè;ci4;null;null;null	⿰⿺乚丿[GJ]⿱日⿱一龰
U+352E	㔮	nuó;null;null;null;null	⿰⿱廿⿻口⿻⿱一一人⿰⿱厶⿵⺆冫[T]⿱⿺乚丿[GJ]⿺乚丿[GJ]
U+352F	㔯	xuán;syun3;null;null;null	⿷匚⿱𠘧口[G],⿷匚⿱八口[T]
U+3530	㔰	héng;hang4;null;null;null	⿷匚⿰⿴𠂊丶卜
U+3531	㔱	yǔ;zyu5;null;null;null	⿷匚⿻臼人[GT]
U+3533	㔳	guǐ;gei2,gwaai2;null;null;null	⿷匚⿰⿱人⿱丶⑤几[GTJV]
U+3534	㔴	yì;zik6;null;null;null	⿷匚⿱田⿱⿱⿻十丨一八
U+3535	㔵	xuǎn;syun2,wan4;null;null;null	⿷匚⿱⿰巳巳⿱⿱⿻十丨一八[GTKV]
U+3536	㔶	gòng;gaam2,gung3,zi1;null;null;null	⿷匚⿰章⿱夂⿱工⿱目八[G],⿷匚⿰章⿱⿱夂㐄⿱目八[T]
U+3537	㔷	lòu;lau6;null;null;null	⿷匚⿱一⿻冂人[G],⿷匸⿱一⿻冂人[T]
U+3538	㔸	tī;cam2,taai1,zyun1;null;null;null	⿷匚⿸𠂆⿸⿸⿱⺊②⿻㇀乚几[G][G],⿷匸⿸𠂆⿸⿸⿱⺊②⿻㇀乚几[G][T]
U+3539	㔹	lè;lak6;null;null;null	⿰十⿻丿𠃌
U+353A	㔺	shì;saai3,si6;null;null;null	⿱十⿺⿻一乚十
U+353B	㔻	null;pei1;null;null;null	⿱⿱一③十
U+353C	㔼	sǔn;seon2;null;null;null	⿱⿰扌隹十
U+353D	㔽	yào;zaau5;null;null;null	⿱⺊⿴囗口
U+353E	㔾	xiān;zit3;null;null;null	㔾
U+353F	㔿	zòu;zau3;null;null;null	⿱一丩
U+3541	㕁	què;koek3;null;null;null	⿰⿱㐅⿸𠂇厶卩
U+3542	㕂	yín;zaam4,zaam6;null;null;null	⿸厂⿱⿱人丶㇇[G]
U+3543	㕃	xī;him3,kaai1,lim4,zap3;null;null;null	⿸厂⿱一⿻一⿰丿丨
U+3544	㕄	zhǐ;zi3;null;null;null	⿸厂⿱一⿰②丶
U+3545	㕅	jiá;gaap3;null;null;null	⿸厂甲
U+3546	㕆	hù;wu6;null;null;null	⿸厂⿱十口
U+3547	㕇	lā;lap3;null;null;null	⿸厂⿱⿱⿱丶一[GTK]丷一
U+3548	㕈	yǐ;at3,zi2;null;null;null	⿸厂⿱⿱丶一[GTK]𧘇
U+3549	㕉	kè;null;null;null;null	⿸厂⿱⿱人一口
U+354A	㕊	fū;bou1,bou1;null;null;null	⿸厂⿺⿻十月丶
U+354B	㕋	qín;kam4;null;null;null	⿸厂⿱人⿻⿱一⿱十一丷
U+354C	㕌	ài;ngoi6,zak6;null;null;null	⿸厂⿱⿱日一寸
U+354D	㕍	null;deoi1;null;null;null	⿸厂隹
U+354E	㕎	kè;null;null;null;null	⿸厂⿱⿱⿱十一厶皿
U+354F	㕏	chú;cyu4;null;null;null	⿸厂⿰豆斗
U+3550	㕐	xiě;se2;null;null;null	⿸厂⿱臼⿹勹灬[GT]
U+3551	㕑	chú;ceoi4,cyu4;null;null;null	⿸厂⿰⿱十豆寸
U+3552	㕒	wēi;faai1,waai4,waai6;null;null;null	⿸厂⿱⿱⿱丷一⿱十一我
U+3553	㕓	null;cin4;null;null;null	⿸厂⿱⿱⑧灬⿱十一[GTK]
U+3554	㕔	null;teng1,ting1;null;null;null	⿸厂⿰⿹耳⿱丿⿱十一[GKV]⿱⿳十罒一心
U+3555	㕕	huàn;nap6,wan6;null;null;null	⿱厶厶
U+3556	㕖	sù;sou3;null;null;null	⿱⿱厶⿰厶厶木
U+3557	㕗	yòu;zaau5;null;null;null	⿺⿱⿱⿱丷一⿱十一久厶
U+3558	㕘	null;caam1,sam1;null;null;null	⿱⿱⿱厶⿰厶厶人小
U+3559	㕙	jùn;zeon3;null;null;null	⿰⿳厶八夂[G]⿷⿱𠂊⑤[GTK]丶[GTJV]
U+355A	㕚	zhǎo;zaau2;null;null;null	⿰丶⿴又丶
U+355B	㕛	xù;zaau5;null;null;null	⿱又又
